,feature,importance
11,房屋面积,15704058.280777985
10,总楼层,3259975.9578512944
2,区,1755359.1078747825
0,位置,1581109.5454497375
35,每个房间面积,1569899.9288834976
8,小区名,1519633.3590672454
6,地铁站点,1402557.7746613603
28,区_12,1235164.104143153
14,距离,1207321.351884366
4,卫的数量,934666.7942973268
7,地铁线路,687869.2746625538
36,楼层*总楼层,631589.2039788864
31,位置_is_137,611871.6523886637
30,位置_is_43,556887.6166309149
26,区_6,549844.4434045152
27,区_10,491939.1821456158
34,总房间数量,459626.1606594456
29,位置_is_78,449450.5683696859
3,卧室数量,326999.47633768007
13,装修情况,232921.67239856528
5,厅的数量,198694.80696388462
32,位置_is_102,147407.30164198857
12,楼层,142578.01824865022
33,位置_is_71,112992.54640315619
20,房屋朝向_南,100515.3892096662
17,房屋朝向_东南,93194.97683278711
15,房屋朝向_东,67033.83331790613
22,房屋朝向_西,46914.83814774029
1,出租方式,40479.17085462308
24,房屋朝向_西南,38680.015289357485
18,房屋朝向_其他,35125.730765232
9,居住状态,31360.255981947295
21,房屋朝向_南 北,31126.097189116932
19,房屋朝向_北,26546.560379509
23,房屋朝向_西北,22277.543655458896
16,房屋朝向_东北,20111.80541835999
25,房屋朝向_nan,0.0
